,0,1,2,3,4,5,6,7,8
737,738,77.0,-55.0,5.927e-05,-0.00075762,-0.00030744,0.0,0.0,0.0
738,739,77.0,-53.0,1.199e-05,-0.00071934,-0.00036248,0.0,0.0,0.0
739,740,77.0,-51.0,-3.991e-05,-0.00067596,-0.00041048,0.0,0.0,0.0
740,741,77.0,-49.0,-9.527e-05,-0.00062865,-0.00045117,0.0,0.0,0.0
741,742,77.0,-47.0,-0.00015296,-0.00057856,-0.00048446,0.0,0.0,0.0
742,743,77.0,-45.0,-0.00021193,-0.00052681,-0.00051042,0.0,0.0,0.0
743,744,77.0,-43.0,-0.00027117,-0.00047442,-0.00052928,0.0,0.0,0.0
744,745,77.0,-41.0,-0.00032976,-0.00042236,-0.00054137,0.0,0.0,0.0
745,746,77.0,-39.0,-0.00038688,-0.00037146,-0.00054716,0.0,0.0,0.0
746,747,77.0,-37.0,-0.00044184,-0.00032249,-0.00054717,0.0,0.0,0.0
747,748,77.0,-35.0,-0.00049401,-0.00027608,-0.00054204,0.0,0.0,0.0
748,749,77.0,-33.0,-0.0005429,-0.00023277,-0.00053242,0.0,0.0,0.0
749,750,77.0,-31.0,-0.00058812,-0.00019296,-0.00051903,0.0,0.0,0.0
750,751,77.0,-29.0,-0.00062941,-0.00015697,-0.00050259,0.0,0.0,0.0
751,752,77.0,-27.0,-0.00066659,-0.00012499,-0.00048388,0.0,0.0,0.0
752,753,77.0,-25.0,-0.00069959,-9.71e-05,-0.00046362,0.0,0.0,0.0
753,754,77.0,-23.0,-0.00072847,-7.328e-05,-0.0004426,0.0,0.0,0.0
754,755,77.0,-21.0,-0.00075334,-5.34e-05,-0.00042156,0.0,0.0,0.0
755,756,77.0,-19.0,-0.00077447,-3.722e-05,-0.00040093,0.0,0.0,0.0
771,772,79.0,-67.0,8.024e-05,-0.00066771,0.00017915,0.0,0.0,0.0
772,773,79.0,-65.0,9.108e-05,-0.00068799,0.00011748,0.0,0.0,0.0
773,774,79.0,-63.0,9.416e-05,-0.00070022,5.55e-05,0.0,0.0,0.0
774,775,79.0,-61.0,8.976e-05,-0.00070466,-5.74e-06,0.0,0.0,0.0
775,776,79.0,-59.0,7.826e-05,-0.00070169,-6.528e-05,0.0,0.0,0.0
776,777,79.0,-57.0,6.019e-05,-0.00069181,-0.00012227,0.0,0.0,0.0
777,778,79.0,-55.0,3.614e-05,-0.00067564,-0.00017595,0.0,0.0,0.0
778,779,79.0,-53.0,6.82e-06,-0.00065385,-0.00022571,0.0,0.0,0.0
779,780,79.0,-51.0,-2.706e-05,-0.00062718,-0.00027104,0.0,0.0,0.0
780,781,79.0,-49.0,-6.471e-05,-0.00059641,-0.00031158,0.0,0.0,0.0
781,782,79.0,-47.0,-0.00010537,-0.00056231,-0.00034708,0.0,0.0,0.0
782,783,79.0,-45.0,-0.00014827,-0.00052567,-0.00037742,0.0,0.0,0.0
783,784,79.0,-43.0,-0.00019267,-0.00048725,-0.00040258,0.0,0.0,0.0
784,785,79.0,-41.0,-0.00023785,-0.00044775,-0.00042266,0.0,0.0,0.0
785,786,79.0,-39.0,-0.00028315,-0.00040786,-0.00043784,0.0,0.0,0.0
786,787,79.0,-37.0,-0.000328,-0.00036817,-0.00044841,0.0,0.0,0.0
